model_prompt,Employment_precision,Employment_recall,Employment_f1,Housing Instability_precision,Housing Instability_recall,Housing Instability_f1,Food Insecurity_precision,Food Insecurity_recall,Food Insecurity_f1,Financial Strain_precision,Financial Strain_recall,Financial Strain_f1,Transportation_precision,Transportation_recall,Transportation_f1,Childcare_precision,Childcare_recall,Childcare_f1,Substance Abuse_precision,Substance Abuse_recall,Substance Abuse_f1,Safety_precision,Safety_recall,Safety_f1,Permanency_precision,Permanency_recall,Permanency_f1,macro_precision,macro_recall,macro_f1
Llama-3.3-70B-Instruct_granular_1_shot,0.5451327433628319,0.9058823529411765,0.6806629834254145,0.5055187637969095,0.7508196721311475,0.604221635883905,0.15775034293552812,0.905511811023622,0.26869158878504673,0.6719310839913855,0.8110918544194108,0.7349823321554771,0.4308755760368664,0.9033816425120773,0.5834633385335414,0.19534883720930232,0.6176470588235294,0.2968197879858657,0.5825242718446602,0.9523809523809523,0.7228915662650602,0.5928571428571429,0.6467532467532467,0.6186335403726708,0.49503311258278143,0.696969696969697,0.5788964181994192,0.4641079860686009,0.7989375875505399,0.5654736879562667
Llama-3.3-70B-Instruct_granular_0_shot,0.5528846153846154,0.6216216216216216,0.5852417302798982,0.44861337683523655,0.8258258258258259,0.5813953488372093,0.14122137404580154,0.8345864661654135,0.24156692056583243,0.6944074567243675,0.8556193601312552,0.766629915472253,0.4549763033175355,0.8495575221238938,0.5925925925925926,0.22311827956989247,0.564625850340136,0.3198458574181117,0.31100478468899523,0.9420289855072463,0.4676258992805756,0.532967032967033,0.48743718592964824,0.5091863517060367,0.47714808043875684,0.5625,0.516320474777448,0.4262601448858037,0.7270892019605601,0.5089338989922175
Llama-3.3-70B-Instruct_broad_1_shot,0.5398671096345515,0.9558823529411765,0.6900212314225054,0.4178217821782178,0.6918032786885245,0.5209876543209876,0.14658385093167703,0.9291338582677166,0.25321888412017174,0.6850828729281768,0.7521663778162911,0.7170590665014458,0.41965317919075146,0.8768115942028986,0.5676309616888194,0.17479674796747968,0.6323529411764706,0.27388535031847133,0.29850746268656714,0.9523809523809523,0.45454545454545453,0.536779324055666,0.7012987012987013,0.6081081081081081,0.5006485084306096,0.8997668997668997,0.6433333333333333,0.4133045375559663,0.8212885507266257,0.5254211160399219
Llama-3.3-70B-Instruct_broad_0_shot,0.5927927927927928,0.8891891891891892,0.7113513513513513,0.39514978601997147,0.8318318318318318,0.5357833655705996,0.1308411214953271,0.9473684210526315,0.22992700729927007,0.7322987390882638,0.6193601312551271,0.6711111111111111,0.43366093366093367,0.7809734513274337,0.5576619273301737,0.16206261510128914,0.5986394557823129,0.25507246376811593,0.1675,0.9710144927536232,0.2857142857142857,0.5040485829959515,0.6256281407035176,0.5582959641255605,0.49385749385749383,0.8663793103448276,0.6291079812206574,0.401356896112447,0.7922649360267217,0.49266949527679166
Llama-3.1-8B-Instruct_granular_1_shot,0.1777456647398844,0.8848920863309353,0.296028880866426,0.5377358490566038,0.57,0.5533980582524272,0.08229426433915212,0.673469387755102,0.14666666666666667,0.7103109656301145,0.4732824427480916,0.568062827225131,0.4605911330049261,0.7824267782426778,0.5798449612403102,0.10982658959537572,0.24675324675324675,0.15200000000000002,0.4864864864864865,0.8181818181818182,0.6101694915254238,0.32867132867132864,0.36015325670498083,0.34369287020109685,0.3739130434782609,0.6898395721925134,0.48496240601503765,0.363063925000237,0.6109998432121517,0.4149806846658355
Llama-3.1-8B-Instruct_granular_0_shot,0.1856,0.9586776859504132,0.3109919571045577,0.1619919862621637,0.8549848942598187,0.2723772858517805,0.07205982324949015,0.8153846153846154,0.13241723922548407,0.5205479452054794,0.7530966143682907,0.6155923050961863,0.26770538243626063,0.8456375838926175,0.40667025282409897,0.06860158311345646,0.7123287671232876,0.12515042117930203,0.061046511627906974,0.9130434782608695,0.11444141689373297,0.16467065868263472,0.5583756345177665,0.2543352601156069,0.21234735413839892,0.6804347826086956,0.3236814891416753,0.19050791607953232,0.7879960062629304,0.28396195860360274
Llama-3.1-8B-Instruct_broad_1_shot,0.5574712643678161,0.8434782608695652,0.6712802768166091,0.3880597014925373,0.6046511627906976,0.4727272727272727,0.10115606936416185,0.7777777777777778,0.17902813299232737,0.7411924119241192,0.5214489990467112,0.6121992165640738,0.5148514851485149,0.7761194029850746,0.6190476190476191,0.12403100775193798,0.40336134453781514,0.18972332015810275,0.2564102564102564,0.9090909090909091,0.3999999999999999,0.3318777292576419,0.4470588235294118,0.38095238095238093,0.3714759535655058,0.6473988439306358,0.4720758693361433,0.37628065325361015,0.6589317249509553,0.4441148987327254
Llama-3.1-8B-Instruct_broad_0_shot,0.394990366088632,0.9151785714285714,0.5518169582772543,0.2982107355864811,0.6276150627615062,0.4043126684636118,0.09766162310866575,0.8452380952380952,0.1750924784217016,0.7130801687763713,0.5297805642633229,0.6079136690647482,0.45692883895131087,0.7947882736156352,0.5802615933412604,0.12527964205816555,0.5185185185185185,0.2018018018018018,0.14642857142857144,0.8913043478260869,0.2515337423312884,0.26956521739130435,0.49206349206349204,0.34831460674157305,0.34532374100719426,0.7453416149068323,0.47197640117994105,0.3163854338218552,0.7066476156246734,0.3992248799581312
