model_prompt,Employment_precision,Employment_recall,Employment_f1,Housing Instability_precision,Housing Instability_recall,Housing Instability_f1,Food Insecurity_precision,Food Insecurity_recall,Food Insecurity_f1,Financial Strain_precision,Financial Strain_recall,Financial Strain_f1,Transportation_precision,Transportation_recall,Transportation_f1,Childcare_precision,Childcare_recall,Childcare_f1,Substance Abuse_precision,Substance Abuse_recall,Substance Abuse_f1,Safety_precision,Safety_recall,Safety_f1,Permanency_precision,Permanency_recall,Permanency_f1,macro_precision,macro_recall,macro_f1
Llama-3.3-70B-Instruct_granular_1_shot,0.42788461538461536,0.8557692307692307,0.5705128205128205,0.9822222222222222,0.7391304347826086,0.8435114503816793,0.8247422680412371,0.9090909090909091,0.8648648648648649,0.952819332566168,0.771668219944082,0.8527291452111226,0.8737541528239202,0.7781065088757396,0.8231611893583725,0.7093023255813954,0.5980392156862745,0.648936170212766,1.0,0.7741935483870968,0.8727272727272727,0.9690265486725663,0.5793650793650794,0.7251655629139073,0.5055350553505535,0.7873563218390804,0.6157303370786518,0.8050318356269643,0.754746607637789,0.7574820903623842
Llama-3.3-70B-Instruct_granular_0_shot,0.28,0.8198198198198198,0.4174311926605505,0.9881889763779528,0.7723076923076924,0.8670120898100173,0.7130434782608696,0.8817204301075269,0.7884615384615384,0.9225621414913958,0.8539823008849557,0.8869485294117648,0.8447368421052631,0.8629032258064516,0.8537234042553191,0.6442307692307693,0.6090909090909091,0.6261682242990654,0.9491525423728814,0.8615384615384616,0.903225806451613,0.9587628865979382,0.4781491002570694,0.6380789022298456,0.3893129770992366,0.8315217391304348,0.5303292894280762,0.743332290392923,0.774559297660369,0.7234865530008656
Llama-3.3-70B-Instruct_broad_1_shot,0.4521276595744681,0.8173076923076923,0.5821917808219178,0.9731543624161074,0.48494983277591974,0.6473214285714287,0.8421052631578947,0.9090909090909091,0.8743169398907102,0.9265402843601895,0.7287977632805219,0.8158581116327597,0.8767605633802817,0.7366863905325444,0.8006430868167203,0.765625,0.4803921568627451,0.5903614457831325,1.0,0.8709677419354839,0.9310344827586207,0.9723320158102767,0.6507936507936508,0.779714738510301,0.7150537634408602,0.764367816091954,0.7388888888888889,0.8359665457933421,0.7159282170746024,0.7511478781860533
Llama-3.3-70B-Instruct_broad_0_shot,0.31545741324921134,0.9009009009009009,0.4672897196261682,0.9949238578680203,0.6030769230769231,0.7509578544061303,0.82,0.8817204301075269,0.849740932642487,0.8938826466916354,0.6336283185840708,0.7415846711548421,0.8253012048192772,0.7365591397849462,0.7784090909090909,0.6804123711340206,0.6,0.6376811594202899,0.9682539682539683,0.9384615384615385,0.953125,0.967741935483871,0.6169665809768637,0.7535321821036107,0.5880149812734082,0.8532608695652174,0.6962305986696231,0.7837764865303792,0.7516194112731097,0.7365056898813601
Llama-3.1-8B-Instruct_granular_1_shot,0.4032258064516129,0.6410256410256411,0.49504950495049505,1.0,0.41708542713567837,0.5886524822695035,0.75,0.631578947368421,0.6857142857142857,0.9215116279069767,0.36022727272727273,0.5179738562091504,0.831081081081081,0.5970873786407767,0.6949152542372881,0.4,0.12698412698412698,0.19277108433734938,1.0,0.6818181818181818,0.8108108108108109,0.9285714285714286,0.10038610038610038,0.18118466898954702,0.1,0.02142857142857143,0.03529411764705882,0.7038211048901222,0.39751351639053,0.4669295627961655
Llama-3.1-8B-Instruct_granular_0_shot,0.3242320819112628,0.8796296296296297,0.4738154613466334,0.9915254237288136,0.7244582043343654,0.8372093023255814,0.7523809523809524,0.8494623655913979,0.7979797979797979,0.9216182048040455,0.6497326203208557,0.7621536853110299,0.8745980707395499,0.7391304347826086,0.801178203240059,0.6813186813186813,0.5636363636363636,0.6169154228855721,0.9387755102040817,0.7076923076923077,0.8070175438596492,0.967479674796748,0.3090909090909091,0.46850393700787407,0.4144736842105263,0.6847826086956522,0.5163934426229508,0.7629335871216291,0.6786239381971212,0.6756851996199053
Llama-3.1-8B-Instruct_broad_1_shot,0.24774774774774774,0.9016393442622951,0.38869257950530034,1.0,0.503968253968254,0.6701846965699209,0.7205882352941176,0.7777777777777778,0.7480916030534351,0.8895027624309392,0.491353001017294,0.6330275229357798,0.8024691358024691,0.7116788321167883,0.7543520309477756,0.625,0.3191489361702128,0.4225352112676056,0.9523809523809523,0.7843137254901961,0.8602150537634408,0.968503937007874,0.36716417910447763,0.5324675324675325,0.512396694214876,0.7425149700598802,0.6063569682151589,0.7465099405421084,0.6221732244407973,0.6239914665251054
Llama-3.1-8B-Instruct_broad_0_shot,0.2558139534883721,0.9016393442622951,0.3985507246376812,0.9838709677419355,0.5258620689655172,0.6853932584269663,0.7424242424242424,0.8596491228070176,0.7967479674796748,0.901010101010101,0.4955555555555556,0.6394265232974911,0.8071748878923767,0.72,0.7610993657505285,0.6136363636363636,0.3253012048192771,0.4251968503937008,0.9459459459459459,0.7954545454545454,0.8641975308641975,0.9772727272727273,0.4161290322580645,0.5837104072398189,0.5893719806763285,0.7770700636942676,0.6703296703296703,0.7573912411209326,0.6462956597573934,0.6471835887133034
