model_prompt,precision,recall,f1
Llama-3.3-70B-Instruct_granular_1_shot,0.4983585029546947,0.905727923627685,0.6429479034307497
Llama-3.3-70B-Instruct_granular_0_shot,0.5528815706143129,0.8567222767419038,0.6720554272517321
Llama-3.3-70B-Instruct_broad_1_shot,0.49967170059093896,0.8807870370370371,0.6376204440720571
Llama-3.3-70B-Instruct_broad_0_shot,0.558581380620646,0.8464491362763915,0.6730255627623044
Llama-3.1-8B-Instruct_granular_1_shot,0.6041369472182596,0.77,0.6770583533173461
Llama-3.1-8B-Instruct_granular_0_shot,0.34243964421855144,0.7475728155339806,0.4697167755991285
Llama-3.1-8B-Instruct_broad_1_shot,0.6046979865771812,0.7452440033085195,0.6676546869210819
Llama-3.1-8B-Instruct_broad_0_shot,0.571830985915493,0.7463235294117647,0.6475279106858055
